1B1b1k2/3P4/3K4/pB4p1/P4Pb1/8/8/8 b - -,1.0
1B1b1k2/8/1n1N4/2pPpb1P/2P1p3/4K3/8/8 w - -,0.5
1B1b2k1/1p3p2/5n1p/pP1pN1p1/P2P4/2N4P/2b2PP1/6K1 w - -,0.5
rnb1kbnr/pp1pppp1/7p/2q5/5P2/N1P1P3/P2P2PP/R1BQKBNR w KQkq -,0.5
r1q1kb1r/6pp/b1p1pn2/2P1Np2/QP6/4P3/P2N2PP/R1BR2K1 b kq -,0.5
8/8/1p1k4/1P6/8/3p3P/1r4P1/5K2 w - -,0.0
r6r/n6p/6p1/1p3pb1/q7/P1B1kP1P/6P1/6K1 b - -,0.0
8/6P1/8/1pk1r3/6RP/8/3K4/8 b - -,1.0
8/1R6/1p6/3pkp2/P6p/1P1K3P/4r1P1/8 b - -,0.5
4r3/pp3R2/6pk/3p3p/3P4/1P5P/P2b1PN1/5K2 b - -,0.5
4r1k1/p1q2p1p/1p2p1p1/4P3/2b1P3/2B3P1/5P1P/3R2K1 b - -,0.0
rn2kb1r/ppp1pp1p/2q3p1/3nN3/3P4/2N1P3/PPb2PPP/R1B1KB1R b KQkq -,0.0
r4rk1/1p2ppbp/pP4p1/q7/1n2P3/1Q6/PP1BNPPP/R4RK1 b - -,0.5
4r3/pq3pk1/1p2p1pp/1P2P3/P3P3/4BPP1/7P/3Q2K1 w - -,0.0
2q1r1k1/p4p1p/1p2p1p1/1b2P3/4P3/1P4P1/P2B1P1P/1Q1R2K1 w - -,0.5
8/5k2/8/2p1r1nR/8/8/5K2/8 w - -,0.0
2b1kr2/4p3/2p5/8/2P1Pn2/R4BK1/6P1/7R w - -,1.0
r1b1k1r1/p2npp1p/2pp1n1R/qp6/3PP3/5N2/PPPN1PP1/R2QKB2 b Qq -,0.5
2r5/4p1k1/R1p5/3nP3/8/8/1N2K1P1/8 w - -,0.5
5r2/4p1k1/2p3n1/4p3/rpP1P3/1N6/P1N1b1P1/R5KR w - -,0.5
7k/p7/1p2Q2p/8/8/q5K1/5P1P/8 w - -,0.5
2k5/7Q/1p6/8/7K/8/8/8 w - -,1.0
Q7/8/1p6/8/8/7K/1k6/8 b - -,1.0
8/8/8/8/8/8/2Rk4/1K6 b - -,0.0
8/8/8/8/8/3k4/2R5/1K6 w - -,0.0
8/8/8/8/8/3k4/1KR5/8 b - -,0.0
8/8/8/8/3k4/8/1KR5/8 w - -,0.0
8/8/8/8/2Rk4/8/1K6/8 b - -,0.5
